sequential	5000	0.005	2.90435
parallel	5000	0.005	1.07855
sequential	5000	0.01	3.03922
parallel	5000	0.01	1.09523
sequential	5000	0.015	2.96836
parallel	5000	0.015	1.11374
sequential	5000	0.02	2.93363
parallel	5000	0.02	1.10005
sequential	5000	0.005	2.88889
parallel	5000	0.005	1.04910
sequential	5000	0.01	2.90543
parallel	5000	0.01	1.09431
sequential	5000	0.015	2.95827
parallel	5000	0.015	1.10187
sequential	5000	0.02	2.93655
parallel	5000	0.02	1.06423
sequential	5000	0.005	2.90802
parallel	5000	0.005	1.08005
sequential	5000	0.01	2.92719
parallel	5000	0.01	1.09170
sequential	5000	0.015	2.91438
parallel	5000	0.015	1.09705
sequential	5000	0.02	2.93185
parallel	5000	0.02	1.10490
sequential	7000	0.005	5.65545
parallel	7000	0.005	2.10098
sequential	7000	0.01	5.69729
parallel	7000	0.01	2.13116
sequential	7000	0.015	5.73193
parallel	7000	0.015	2.18375
sequential	7000	0.02	5.75365
parallel	7000	0.02	2.19664
sequential	7000	0.005	5.67953
parallel	7000	0.005	2.15315
sequential	7000	0.01	5.72897
parallel	7000	0.01	2.15499
sequential	7000	0.015	5.72118
parallel	7000	0.015	2.12011
sequential	7000	0.02	5.77786
parallel	7000	0.02	2.23236
sequential	7000	0.005	5.66681
parallel	7000	0.005	2.17880
sequential	7000	0.01	5.68013
parallel	7000	0.01	2.15967
sequential	7000	0.015	5.78034
parallel	7000	0.015	2.19896
sequential	7000	0.02	5.71784
parallel	7000	0.02	2.12024
sequential	9000	0.005	9.42696
parallel	9000	0.005	3.54670
sequential	9000	0.01	9.40845
parallel	9000	0.01	3.59146
sequential	9000	0.015	9.37306
parallel	9000	0.015	3.53014
sequential	9000	0.02	9.45857
parallel	9000	0.02	3.56940
sequential	9000	0.005	9.32180
parallel	9000	0.005	3.45427
sequential	9000	0.01	9.37033
parallel	9000	0.01	3.52565
sequential	9000	0.015	9.50956
parallel	9000	0.015	3.62179
sequential	9000	0.02	9.54971
parallel	9000	0.02	3.57290
sequential	9000	0.005	9.45980
parallel	9000	0.005	3.42046
sequential	9000	0.01	9.46132
parallel	9000	0.01	3.51279
sequential	9000	0.015	9.52105
parallel	9000	0.015	3.54367
sequential	9000	0.02	9.52684
parallel	9000	0.02	3.57662
sequential	11000	0.005	14.08333
parallel	11000	0.005	5.36581
sequential	11000	0.01	14.13764
parallel	11000	0.01	5.26616
sequential	11000	0.015	14.23799
parallel	11000	0.015	5.46952
sequential	11000	0.02	14.18788
parallel	11000	0.02	5.32986
sequential	11000	0.005	14.05081
parallel	11000	0.005	5.20489
sequential	11000	0.01	14.11698
parallel	11000	0.01	5.47065
sequential	11000	0.015	14.18854
parallel	11000	0.015	5.33654
sequential	11000	0.02	14.15135
parallel	11000	0.02	5.33871
sequential	11000	0.005	14.20812
parallel	11000	0.005	5.31270
sequential	11000	0.01	14.10519
parallel	11000	0.01	5.36557
sequential	11000	0.015	14.20651
parallel	11000	0.015	5.30438
sequential	11000	0.02	14.36891
parallel	11000	0.02	5.11711
sequential	13000	0.005	19.56299
parallel	13000	0.005	7.52454
sequential	13000	0.01	20.47340
parallel	13000	0.01	7.57716
sequential	13000	0.015	19.83515
parallel	13000	0.015	7.32218
sequential	13000	0.02	20.21373
parallel	13000	0.02	7.68877
sequential	13000	0.005	19.69878
parallel	13000	0.005	7.56469
sequential	13000	0.01	19.87627
parallel	13000	0.01	7.51123
sequential	13000	0.015	20.48126
parallel	13000	0.015	7.57950
sequential	13000	0.02	19.88509
parallel	13000	0.02	7.61062
sequential	13000	0.005	19.68247
parallel	13000	0.005	7.48380
sequential	13000	0.01	19.98759
parallel	13000	0.01	7.51389
sequential	13000	0.015	20.07860
parallel	13000	0.015	7.29762
sequential	13000	0.02	19.92292
parallel	13000	0.02	7.68607
sequential	15000	0.005	26.00781
parallel	15000	0.005	9.63214
sequential	15000	0.01	26.40057
parallel	15000	0.01	10.02796
sequential	15000	0.015	26.34473
parallel	15000	0.015	9.97233
sequential	15000	0.02	26.75147
parallel	15000	0.02	10.00370
sequential	15000	0.005	26.16500
parallel	15000	0.005	9.61786
sequential	15000	0.01	26.30182
parallel	15000	0.01	10.12343
sequential	15000	0.015	26.17924
parallel	15000	0.015	10.17239
sequential	15000	0.02	26.28520
parallel	15000	0.02	9.84010
sequential	15000	0.005	26.09207
parallel	15000	0.005	9.84876
sequential	15000	0.01	26.45050
parallel	15000	0.01	9.85988
sequential	15000	0.015	26.28175
parallel	15000	0.015	9.95314
sequential	15000	0.02	26.97703
parallel	15000	0.02	9.98947
sequential	17000	0.005	33.80197
parallel	17000	0.005	12.88779
sequential	17000	0.01	33.97961
parallel	17000	0.01	13.03902
sequential	17000	0.015	34.19102
parallel	17000	0.015	13.25177
sequential	17000	0.02	34.08491
parallel	17000	0.02	12.96466
sequential	17000	0.005	33.99606
parallel	17000	0.005	13.00539
sequential	17000	0.01	33.70402
parallel	17000	0.01	13.15133
sequential	17000	0.015	34.05524
parallel	17000	0.015	13.40651
sequential	17000	0.02	34.75448
parallel	17000	0.02	13.43755
sequential	17000	0.005	33.65462
parallel	17000	0.005	13.13135
sequential	17000	0.01	33.81838
parallel	17000	0.01	13.02788
sequential	17000	0.015	34.09609
